Total sizes:,,,
Used static DRAM,73828 bytes (50752 remain 59.3% used),,,
.data size,24908 bytes,,,
.bss  size,48920 bytes,,,
Used static IRAM,130634 bytes (438 remain 99.7% used),,,
.text size,129607 bytes,,,
.vectors size,1027 bytes,,,
Used Flash size ,1349255 bytes,,,
.text,1040963 bytes,,,
.rodata,308036 bytes,,,
Total image size,1504797 bytes (.bin may be padded larger),,,
Per-file contributions to ELF file:
Object File,DRAM .data,& 0.bss,IRAM0 .text,& 0.vectors,ram_st_total,Flash .text,& .rodata,& .rodata_noload,& .appdesc
ssl_client.c.obj,0,0,0,0,0,1835,0,0,0
vfs_fat_sdmmc.c.obj,4,8,0,0,12,1780,48,0,0
rwip.o,0,12,216,0,228,1589,12,0,0
heap_caps.c.obj,4,4,1379,0,1387,234,189,0,0
xtensa_vectors.S.obj,20,0,1314,424,1758,0,36,0,0
esp_err_to_name.c.obj,0,0,0,0,0,51,1742,0,0
NimBLEScan.cpp.obj,0,0,0,0,0,1788,0,0,0
sdmmc_mmc.c.obj,0,0,0,0,0,1649,135,0,0
ble_hs_hci_evt.c.obj,0,0,0,0,0,1581,194,0,0
esp_adapter.c.obj,472,5,324,0,801,979,0,0,0
api_lib.c.obj,0,0,0,0,0,1684,83,0,0
ble_hs.c.obj,0,204,0,0,204,1698,68,0,0
mld6.c.obj,0,1,0,0,1,1750,0,0,0
cipher_wrap.c.obj,28,0,0,0,28,646,1068,0,0
esp_clock_output.c.obj,112,4,0,0,116,1535,92,0,0
ble_att_clt.c.obj,0,0,0,0,0,1719,0,0,0
wpa_ie.c.obj,0,0,0,0,0,1695,19,0,0
fatfs_stream.c.obj,0,0,0,0,0,1680,31,0,0
sdmmc_common.c.obj,0,0,0,0,0,1522,157,0,0
ip4.c.obj,0,6,0,0,6,1654,22,0,0
pvmp3_decode_huff_cw.cpp,0,0,0,0,0,1668,0,0,0
ieee80211_crypto.o,0,116,0,0,116,1379,289,0,0
ccm.c.obj,0,0,0,0,0,1664,0,0,0
pvmp3_mpeg2_stereo_proc.,0,0,0,0,0,1598,32,0,0
mmu_hal.c.obj,206,0,1421,0,1627,0,0,0,0
esp_timer.c.obj,8,8,787,0,803,796,21,0,0
igmp.c.obj,0,9,0,0,9,1578,28,0,0
wl_chm.o,4,252,30,0,286,1498,44,200,0
ea.o,0,4,1282,0,1286,253,0,0,0
rsa_alt_helpers.c.obj,0,0,0,0,0,1526,0,0,0
esp_peripherals.c.obj,0,0,0,0,0,1392,131,0,0
vhci.o,0,4,655,0,659,842,0,0,0
pvmp3_stereo_proc.cpp.ob,0,0,0,0,0,1461,32,0,0
ble_l2cap_sig.c.obj,0,57,0,0,57,1379,108,0,0
libc_a-mktime.o,0,0,0,0,0,1390,96,0,0
wifi.cpp.obj,0,6,0,0,6,1484,0,0,0
libc_a-strerror.o,0,0,0,0,0,906,572,0,0
esp_aes.c.obj,8,0,0,0,8,1458,0,0,0
sys_arch.c.obj,0,12,0,0,12,1277,165,0,0
timers.c.obj,8,304,0,0,312,1305,110,0,0
ieee80211_crypto_ccmp.o,24,0,0,0,24,1090,307,0,0
ble_hs_adv.c.obj,0,0,0,0,0,1386,0,0,0
pkcs12.c.obj,0,0,0,0,0,1386,0,0,0
pvmp3_dequantize_sample.,0,0,0,0,0,1248,132,0,0
heap_caps_init.c.obj,8,4,0,0,12,1319,49,0,0
esp_bignum.c.obj,0,0,0,0,0,1338,31,0,0
llc.o,0,37,48,0,85,1320,0,0,0
cpu_start.c.obj,0,5,1020,0,1025,348,0,0,0
ble_hs_hci.c.obj,0,362,0,0,362,1364,0,0,0
rtc_io.c.obj,0,0,0,0,0,1116,245,0,0
audio_event_iface.c.obj,0,0,0,0,0,1301,54,0,0
coexist_arbit.o,186,0,705,0,891,464,0,0,0
ffunicode.c.obj,0,0,0,0,0,390,942,0,0
libc_a-gdtoa-gethex.o,0,0,0,0,0,1330,0,0,0
initializer.cpp.obj,0,8192,0,0,8192,1326,0,0,0
pvmp3_equalizer.cpp.obj,0,0,0,0,0,301,1024,0,0
ringbuf.c.obj,0,0,0,0,0,1314,10,0,0
esp_alc.c.obj,0,0,0,0,0,1295,0,0,0
NimBLEService.cpp.obj,0,0,0,0,0,1280,0,0,0
rtc_time.c.obj,0,0,1234,0,1234,0,37,0,0
ieee80211_power.o,0,0,0,0,0,1234,35,0,0
common.c.obj,0,0,0,0,0,1246,0,0,0
pem.c.obj,0,0,0,0,0,1244,0,0,0
ctr_drbg.c.obj,0,0,0,0,0,1240,0,0,0
esp_wpa_main.c.obj,0,9,0,0,9,1231,0,0,0
wifi_default.c.obj,0,13,0,0,13,1189,34,0,0
esp_timer_impl_lac.c.obj,0,8,628,0,636,527,59,0,0
libc_a-tzset_r.o,0,28,0,0,28,1210,0,0,0
i2c_bus.c.obj,0,8,0,0,8,1119,69,0,0
ble_hs_conn.c.obj,0,332,0,0,332,1161,24,0,0
i2c_hal.c.obj,0,0,0,0,0,1154,29,0,0
rtc_io_periph.c.obj,0,0,0,0,0,0,1168,0,0
hal_mac_tx.o,0,0,32,0,32,1076,56,0,0
pk.c.obj,0,0,0,0,0,1157,0,0,0
ieee80211_nan_datapath.o,1,540,112,0,653,975,60,115,0
base64.c.obj,0,0,0,0,0,1130,0,0,0
ieee80211_phy.o,0,0,0,0,0,663,465,0,0
iot_qbus.cpp.obj,0,156,0,0,156,1120,0,0,0
nvs_pagemanager.cpp.obj,0,0,0,0,0,1115,0,0,0
esp_efuse_utility.c.obj,0,4,0,0,4,1028,85,0,0
ecdh.c.obj,0,0,0,0,0,1112,0,0,0
pk_wrap.c.obj,0,0,0,0,0,856,256,0,0
spi_hal.c.obj,0,0,0,0,0,1072,31,0,0
ecc_p256.o,0,0,0,0,0,1058,44,0,0
pmksa_cache.c.obj,0,0,0,0,0,1098,0,0,0
hal_crypto.o,0,0,0,0,0,1066,27,0,0
rtc_init.c.obj,0,0,0,0,0,1091,0,0,0
asn1parse.c.obj,0,0,0,0,0,1091,0,0,0
nvs_partition_manager.cp,0,4,0,0,4,1075,16,0,0
cache_utils.c.obj,4,14,835,0,853,101,147,0,0
ke_task.o,28,0,991,0,1019,62,0,0,0
crypto_mbedtls.c.obj,0,0,0,0,0,1081,0,0,0
xtensa_intr_asm.S.obj,1024,0,51,0,1075,0,0,0,0
mac_addr.c.obj,56,0,0,0,56,992,22,0,0
eh_alloc.o,0,16,0,0,16,891,176,0,0
coexist_hw.o,1,0,1060,0,1061,0,0,0,0
bootloader_flash_config_,0,0,947,0,947,105,0,0,0
pkcs5.c.obj,0,0,0,0,0,1050,0,0,0
log.c.obj,8,264,42,0,314,959,39,0,0
periph_sdcard.c.obj,0,0,86,0,86,941,19,0,0
libm_a-e_log.o,0,0,0,0,0,1038,0,0,0
eloop.c.obj,0,36,0,0,36,1035,0,0,0
esp_ipc.c.obj,336,40,195,0,571,476,26,0,0
memory_layout.c.obj,0,0,0,0,0,0,1016,0,0
http_header.c.obj,0,0,0,0,0,946,61,0,0
